direction,train_cycle,chronological_age_years,term_score_log_odds,training_bin_unweighted_n,display_eligible
train_2017_2018_test_2015_2016,2017_2018,48.5,-0.0189845585282609,60,True
train_2017_2018_test_2015_2016,2017_2018,49.0,-0.0189845585282609,60,True
train_2017_2018_test_2015_2016,2017_2018,49.5,-0.0189845585282609,60,True
train_2017_2018_test_2015_2016,2017_2018,50.0,-0.0189845585282609,60,True
train_2017_2018_test_2015_2016,2017_2018,50.5,0.7412254057981524,69,True
train_2017_2018_test_2015_2016,2017_2018,51.0,0.7412254057981524,69,True
train_2017_2018_test_2015_2016,2017_2018,51.5,0.7412254057981524,69,True
train_2017_2018_test_2015_2016,2017_2018,52.0,0.7412254057981524,69,True
train_2017_2018_test_2015_2016,2017_2018,52.5,0.7878293534689798,84,True
train_2017_2018_test_2015_2016,2017_2018,53.0,0.7878293534689798,84,True
train_2017_2018_test_2015_2016,2017_2018,53.5,0.7878293534689798,84,True
train_2017_2018_test_2015_2016,2017_2018,54.0,0.7878293534689798,84,True
train_2017_2018_test_2015_2016,2017_2018,54.5,0.8229675157327488,81,True
train_2017_2018_test_2015_2016,2017_2018,55.0,0.8229675157327488,81,True
train_2017_2018_test_2015_2016,2017_2018,55.5,0.8229675157327488,81,True
train_2017_2018_test_2015_2016,2017_2018,56.0,0.8229675157327488,81,True
train_2017_2018_test_2015_2016,2017_2018,56.5,0.8607291269696307,70,True
train_2017_2018_test_2015_2016,2017_2018,57.0,0.8607291269696307,70,True
train_2017_2018_test_2015_2016,2017_2018,57.5,0.8607291269696307,70,True
train_2017_2018_test_2015_2016,2017_2018,58.0,0.8607291269696307,70,True
train_2017_2018_test_2015_2016,2017_2018,58.5,0.923062864705683,97,True
train_2017_2018_test_2015_2016,2017_2018,59.0,0.923062864705683,97,True
train_2017_2018_test_2015_2016,2017_2018,59.5,0.923062864705683,97,True
train_2017_2018_test_2015_2016,2017_2018,60.0,0.923062864705683,97,True
train_2017_2018_test_2015_2016,2017_2018,60.5,0.9585551046285103,107,True
train_2017_2018_test_2015_2016,2017_2018,61.0,0.9585551046285103,107,True
train_2017_2018_test_2015_2016,2017_2018,61.5,0.9585551046285103,107,True
train_2017_2018_test_2015_2016,2017_2018,62.0,0.9585551046285103,107,True
train_2017_2018_test_2015_2016,2017_2018,62.5,0.9881916742143755,60,True
train_2017_2018_test_2015_2016,2017_2018,63.0,0.9881916742143755,60,True
train_2017_2018_test_2015_2016,2017_2018,63.5,0.984540250486558,71,True
train_2017_2018_test_2015_2016,2017_2018,64.0,0.984540250486558,71,True
train_2017_2018_test_2015_2016,2017_2018,64.5,0.984540250486558,71,True
train_2017_2018_test_2015_2016,2017_2018,65.0,0.984540250486558,71,True
train_2017_2018_test_2015_2016,2017_2018,65.5,0.9800033663355028,69,True
train_2017_2018_test_2015_2016,2017_2018,66.0,0.9800033663355028,69,True
train_2017_2018_test_2015_2016,2017_2018,66.5,0.9800033663355028,69,True
train_2017_2018_test_2015_2016,2017_2018,67.0,0.9800033663355028,69,True
train_2017_2018_test_2015_2016,2017_2018,67.5,1.0036144059837697,71,True
train_2017_2018_test_2015_2016,2017_2018,68.0,1.0036144059837697,71,True
train_2017_2018_test_2015_2016,2017_2018,68.5,1.0036144059837697,71,True
train_2017_2018_test_2015_2016,2017_2018,69.0,1.0036144059837697,71,True
train_2017_2018_test_2015_2016,2017_2018,69.5,1.0558770419987744,88,True
train_2017_2018_test_2015_2016,2017_2018,70.0,1.0558770419987744,88,True
train_2017_2018_test_2015_2016,2017_2018,70.5,1.0558770419987744,88,True
train_2017_2018_test_2015_2016,2017_2018,71.0,1.0558770419987744,88,True
train_2017_2018_test_2015_2016,2017_2018,71.5,1.0558770419987744,88,True
train_2017_2018_test_2015_2016,2017_2018,72.0,1.0558770419987744,88,True
train_2017_2018_test_2015_2016,2017_2018,72.5,1.191597310265374,76,True
train_2017_2018_test_2015_2016,2017_2018,73.0,1.191597310265374,76,True
train_2017_2018_test_2015_2016,2017_2018,73.5,1.191597310265374,76,True
train_2017_2018_test_2015_2016,2017_2018,74.0,1.191597310265374,76,True
train_2017_2018_test_2015_2016,2017_2018,74.5,1.191597310265374,76,True
train_2017_2018_test_2015_2016,2017_2018,75.0,1.191597310265374,76,True
train_2017_2018_test_2015_2016,2017_2018,75.5,1.3023773473876012,69,True
train_2017_2018_test_2015_2016,2017_2018,76.0,1.3023773473876012,69,True
train_2017_2018_test_2015_2016,2017_2018,76.5,1.3023773473876012,69,True
train_2017_2018_test_2015_2016,2017_2018,77.0,1.3023773473876012,69,True
train_2017_2018_test_2015_2016,2017_2018,77.5,1.3023773473876012,69,True
train_2017_2018_test_2015_2016,2017_2018,78.0,1.3023773473876012,69,True
train_2017_2018_test_2015_2016,2017_2018,78.5,1.3023773473876012,69,True
train_2017_2018_test_2015_2016,2017_2018,79.0,1.3023773473876012,69,True
train_2017_2018_test_2015_2016,2017_2018,79.5,1.63804877912114,151,True
train_2017_2018_test_2015_2016,2017_2018,80.0,1.63804877912114,151,True
